INTENT,ID,
Undo the last sentence,1,
Undo the last word,1,
Can you undo the last sentence,1,
Please undo the text,1,
Undo the selected text,1,
Could you undo the last sentence,1,
please undo for me,1,
will you undo the text for me,1,
undo the previous sentence,1,
please undo the selected text,1,
could you undo the selected text,1,
please undo the changes,1,
please undo,1,
can you please undo,1,
please undo last paragraph,1,
could you undo the changes,1,
could you undo that for me,1,
please undo the selected word,1,
Please make it bold,2,
Bold the last word,2,
Make the selected word bold,2,
Can you make it bold for me,2,
format to emphasize the selected text,2,
Format to bold for me,2,
can you please make it bold,2,
Bold that for me,2,
Emphasize the last word,2,
Emphasize the selected word,2,
change the text to bold,2,
can you bold the selected text,2,
please bold the last sentence,2,
bold the last two words,2,
please format the text to bold,2,
emphasize that for me,2,
please emphasize the selected text,2,
please bold last word,2,
Bold the last paragraph,2,
remove bold for the selected text,3,
remove bold for the last two sentences,3,
remove emphasis for the selected text,3,
remove emphasis for the last sentence,3,
clear bold for me,3,
remove bold for me,3,
unbold for me,3,
clear emphasis for the selected text,3,
unbold the last word,3,
remove bold from that sentence,3,
Unbold that for me,3,
please remove bold,3,
please clear bold,3,
can you please unbold it,3,
unbold the selected text,3,
please unbold,3,
clear bold for last two sentences,3,
Please make the selected text to italics,4,
Change the selected text to italics,4,
italicize the selected text,4,
Please italicise the selected text,4,
Can you change the selected text to italic,4,
Could you please italicize that last sentence for me,4,
will you italicise that for me,4,
Can you italicize that sentence,4,
italicize that last two sentences,4,
italicize the last four sentences,4,
Please italicise the last two words,4,
Format the selected text to italics,4,
Italicize that for me,4,
can you please format to italics,4,
please italicise that,4,
can you format it to italics,4,
please italicize that,4,
Remove italics for me,5,
unitalicize the sentence,5,
clear italics from selected word,5,
format to unitalicize for me,5,
Please clear italics from last two words,5,
clear the italics for me,5,
Please clear the italics sentence,5,
unitalicized that first sentence,5,
Please remove the italic sentence,5,
unitalicized the selected text,5,
remove italics from last word,5,
clear italics from last sentence,5,
please unitalicize the selected text,5,
can you please clear italics,5,
remove italics from last sentence,5,
underline that,6,
underline please,6,
please underline that,6,
make it underline,6,
last word underline,6,
please underline last word,6,
can you underline last word,6,
underline the last word please,6,
underline the last word,6,
underline the selected word,6,
can you underline the selected word,6,
please underline the selected word,6,
Make the selected word underline,6,
Can you make it underline for me,6,
format to underline for me,6,
last two words underline,6,
can you underline last three words,6,
please underline the last three words,6,
underline the last two characters,6,
underline the last three words,6,
please underline the selected text,6,
underline that selected text,6,
could you underline that,6,
please format to underline that,6,
please underline that for me,6,
underline that word please,6,
can you remove underline for that word,7,
Remove underline for that sentence,7,
remove underline for the last two characters,7,
remove underline for selected word,7,
Can you remove underline for me,7,
remove underline for last three words,7,
redo the underline removed part,7,
please remove underline ,7,
remove underline please,7,
remove underline for all the words in red color,7,
could you please superscript that,8,
Please superscript that,8,
can you please superscript that,8,
superscript that please,8,
superscript last two characters,8,
superscript that,8,
superscript the last two words,8,
superscript the selected text,8,
make it superscript,8,
superscript last character,8,
can you superscript symbol,8,
remove superscript for all words with font red,9,
please clear superscript from that,9,
remove superscript from last character,9,
remove superscript from that,9,
please remove superscript,9,
remove superscript please,9,
can you remove superscript from last two characters,9,
remove superscript from last word,9,
can you remove the superscript,9,
remove superscript from last two characters,9,
remove the superscript,9,
could you remove superscript,9,
please subscript that,10,
can you please subscript that,10,
please subscript last character,10,
subscript last word,10,
subscript please,10,
subscript the last three characters,10,
could you please subscript that,10,
please subscript that,10,
please make it subscript,10,
format to subscript that,10,
Please remove subscript,11,
could you please remove subscript,11,
remove subscript from last character,11,
remove subscript,11,
please remove subscript for me,11,
can you remove subscript from last character,11,
please format to remove subscript,11,
remove subscript please,11,
please remove subscript,11,
format to clear subscript,11,
can you strikethrough text please,12,
strikethrough text,12,
please strikethrough text,12,
strikethrough please,12,
can you strikethrough last two words,12,
please strike that,12,
strikethrough the selected text ,12,
please strikethrough last word,12,
could you please strikethrough that ,12,
strike the full text,12,
strikethrough textoutline,12,
strikethrough first two characters,12,
strikethrough last two characters,12,
Please remove strikethrough,13,
undo strikethrough,13,
remove strikethrough,13, 
remove strikethrough,13,
please undo strike,13,
undo strikethrough for first two characters,13,
remove strikethrough for first two characters,13,
remove strike  for first two characters,13,
remove strike  for first two letters,13,
please undo strikethrough  for first two characters,13,
undo strikethrough for last two characters,13,
remove strikethrough for last two characters,13,
